,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.041150138307692104,0.027804725828630254,0.05971238650432478,0.033596386051587955
1,3,0.07223382524318032,0.049596046115978704,0.10317137198649237,0.05926602467225699
2,6,0.09247200324357713,0.06341929966064222,0.13059355237949474,0.07528987569923204
3,9,0.1041859504386195,0.0719098575334876,0.14604648177522483,0.08495786961295795
4,12,0.11153754452560537,0.07714714580464248,0.15605207712487884,0.09099927563962462
5,15,0.11677846868083162,0.08086657525322674,0.16306186468144188,0.09523181749839425
6,18,0.12074247697748457,0.08345602733219015,0.1678685857335927,0.09808823885436094
7,Final,0.12137318582465124,0.08389587715247057,0.16915650308906405,0.09869635514289486
