,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.13217352845949298,0.0889500420128117,0.18938175170438692,0.10505189015567355
1,3,0.20942270442769587,0.1333006359008702,0.29795000212512357,0.15813780453338336
2,6,0.22312861951600804,0.14152622405765183,0.3118297862263365,0.16659379355184545
3,9,0.22831553265861218,0.14656959227944277,0.32069580760286287,0.1726374134049927
4,12,0.23342080323102132,0.15009771360499685,0.3257094085503907,0.17617691770325858
5,15,0.23648675033450708,0.15233731008669954,0.3314561846921128,0.1791244575486634
6,18,0.23925152090150117,0.15457221083824618,0.33390572109603894,0.18138011605484336
7,Final,0.24076370262514804,0.15518812643874993,0.33566010880967867,0.18203281143010802
