,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.05895322811296731,0.04914608106272388,0.09676518422762227,0.06309481686324618
1,3,0.07132318624682371,0.06019379153613429,0.11655462213916874,0.07683739495771928
2,6,0.07734521908233431,0.06561491352568168,0.12619676207408592,0.08356843440232174
3,9,0.08140956125777193,0.06935455551224189,0.1323599634871381,0.08809085579737551
4,12,0.08433608539058728,0.07180891837739121,0.13673516493035615,0.09112419221117865
5,15,0.08638659442639972,0.07343476742320791,0.14006070988874147,0.09321688142315451
6,18,0.0877640867150571,0.0748136390013633,0.14188470155101024,0.09474269351488164
7,Final,0.08776188063894938,0.07485628110635,0.1424802748750995,0.09500272374998645
