,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.04116062904799508,0.028218629952750356,0.058826076914598374,0.03376831771351174
1,3,0.07262485971932654,0.050154783692076675,0.10323050916018064,0.059749321206197775
2,6,0.09184566713100897,0.06371505057255517,0.12901006652274752,0.07533313924559226
3,9,0.10307981120410999,0.07176870067689094,0.14473185117602766,0.08472168833254594
4,12,0.11049421665714469,0.07701883111477777,0.15485503118655494,0.09082343201771881
5,15,0.11615537939576763,0.08086818658064644,0.1610840052891969,0.09490641531767194
6,18,0.11907712896992974,0.08283003917499084,0.16618115188159874,0.0974644458430544
7,Final,0.12004225750612761,0.08329695320347352,0.16738765912164721,0.09800274550404381
