,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.0582612296861042,0.049062917736495924,0.09645807715171892,0.06300682178243103
1,3,0.07030018177829143,0.060028197608984035,0.11433323017032762,0.0761601594016038
2,6,0.0796893198586739,0.06799471117333664,0.12832568696910834,0.08566334452023171
3,9,0.08542324262667779,0.07321961961991691,0.13685308423213613,0.09187967668147914
4,12,0.08916687097960131,0.07646576207746847,0.14275798571679055,0.095915688081938
5,15,0.09156628355335047,0.07883106703141428,0.14677418014116123,0.09886742312299732
6,18,0.09368479288943782,0.0804919953608959,0.14933786586040843,0.100716155373239
7,Final,0.0943901516076031,0.08097836252744248,0.15066023351675348,0.1013752527651893
