,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.058274418564691066,0.04968089607527517,0.09599303830209024,0.06347696206025268
1,3,0.07204853099163926,0.06120637447145709,0.11854308064483846,0.07823266065475941
2,6,0.08072389787839002,0.0684996580195239,0.13074285156898463,0.08679420519857575
3,9,0.08583238341278678,0.07327891756604342,0.13934383395202807,0.0928211486365492
4,12,0.0901514118993569,0.07677006596509078,0.14436906977444164,0.09656367356311278
5,15,0.09255902626443782,0.07906017632061993,0.14776739249387003,0.09930525095842847
6,18,0.09432736028827536,0.080730214507043,0.15072219721383265,0.10142590594828531
7,Final,0.0949404089550415,0.08120855038846603,0.15101787897924523,0.10179223136454107
