,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.04048517317378328,0.027425017287317797,0.0573767064053944,0.03272115396566408
1,3,0.0723454314522291,0.050026000427570855,0.10344046474839125,0.05972792574811783
2,6,0.09202056506850127,0.06369152784063369,0.13017900084466694,0.0755356680483652
3,9,0.10451313747830991,0.07210447050129921,0.14607762191393664,0.08506846488178278
4,12,0.11155477064310411,0.07742050273039415,0.15520197015849377,0.09099588862827394
5,15,0.11665046781983493,0.0810948734156776,0.16175074447849938,0.09511613152464769
6,18,0.12021829713728334,0.08314166617218392,0.16699984752692001,0.09765303697079407
7,Final,0.1211233195437532,0.08381432303466554,0.1679629598034524,0.09838400389819149
