,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1454606917783376,0.08499682207567734,0.2136554302750611,0.10264381835482982
1,3,0.18532114627237092,0.10828393189394453,0.26532991249150156,0.12904600787447848
2,6,0.19190028262193784,0.11217277903512411,0.27481004751669086,0.1337153369259795
3,9,0.19561453492675782,0.11438933063670863,0.2813703681158545,0.13663604798793544
4,12,0.19936557094087284,0.11644877237840902,0.2854286530481619,0.13884873721209715
5,15,0.20137886639659527,0.11770942610799913,0.28858864231517145,0.14036899690531485
6,18,0.20341688993023918,0.11864431298662159,0.29082555505564534,0.1413478482946514
7,Final,0.2039711115382164,0.11895155137591817,0.2917286997456165,0.14174554712191487
